Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1993;13730,4; (adjusted for inflation, 2023 dollars);1993;€13,7B;;€21,2B;;€21185,0B;13730,4;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1994;17403,2; (adjusted for inflation, 2023 dollars);1994;€17,4B;;€24,8B;;€24811,9B;17403,2;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1995;18748,8; (adjusted for inflation, 2023 dollars);1995;€18,7B;;€24,6B;;€24632,7B;18748,8;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1996;19293,3; (adjusted for inflation, 2023 dollars);1996;€19,3B;;€24,3B;;€24340,7B;19293,3;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1997;18823,4; (adjusted for inflation, 2023 dollars);1997;€18,8B;;€23,2B;;€23231,0B;18823,4;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1998;21340,4; (adjusted for inflation, 2023 dollars);1998;€21,3B;;€25,6B;;€25630,9B;21340,4;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);1999;23440,3; (adjusted for inflation, 2023 dollars);1999;€23,4B;;€26,7B;;€26674,7B;23440,3;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2000;23382,6; (adjusted for inflation, 2023 dollars);2000;€23,4B;;€25,3B;;€25345,2B;23382,6;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2001;22210,7; (adjusted for inflation, 2023 dollars);2001;€22,2B;;€23,7B;;€23650,3B;22210,7;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2002;20399,5; (adjusted for inflation, 2023 dollars);2002;€20,4B;;€21,4B;;€21367,8B;20399,5;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2003;18601,6; (adjusted for inflation, 2023 dollars);2003;€18,6B;;€19,6B;;€19630,7B;18601,6;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2004;18463,6; (adjusted for inflation, 2023 dollars);2004;€18,5B;;€19,9B;;€19913,0B;18463,6;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2005;16413,3; (adjusted for inflation, 2023 dollars);2005;€16,4B;;€19,2B;;€19174,4B;16413,3;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2006;14165,9; (adjusted for inflation, 2023 dollars);2006;€14,2B;;€17,8B;;€17773,5B;14165,9;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2007;10951,6; (adjusted for inflation, 2023 dollars);2007;€11,0B;;€15,7B;;€15652,2B;10951,6;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2008;7743,1; (adjusted for inflation, 2023 dollars);2008;€7,7B;;€12,4B;;€12421,1B;7743,1;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2009;6133,9; (adjusted for inflation, 2023 dollars);2009;€6,1B;;€11,1B;;€11122,4B;6133,9;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2010;4736,2; (adjusted for inflation, 2023 dollars);2010;€4,7B;;€9,8B;;€9800,8B;4736,2;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2011;4200,2; (adjusted for inflation, 2023 dollars);2011;€4,2B;;€9,7B;;€9665,7B;4200,2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2012;3298,7; (adjusted for inflation, 2023 dollars);2012;€3,3B;;€9,3B;;€9310,9B;3298,7;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2013;2800,3; (adjusted for inflation, 2023 dollars);2013;€2,8B;;€9,2B;;€9201,8B;2800,3;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2014;2286,2; (adjusted for inflation, 2023 dollars);2014;€2,3B;;€8,6B;;€8616,8B;2286,2;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2015;1857,6; (adjusted for inflation, 2023 dollars);2015;€1,9B;;€8,6B;;€8627,1B;1857,6;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2016;1435,6; (adjusted for inflation, 2023 dollars);2016;€1,4B;;€9,5B;;€9510,9B;1435,6;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2017;1297,7; (adjusted for inflation, 2023 dollars);2017;€1,3B;;€10,6B;;€10570,2B;1297,7;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2018;844,3; (adjusted for inflation, 2023 dollars);2018;;€844,3M;€11,8B;;€11816,7B;844,3;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2019;758,8; (adjusted for inflation, 2023 dollars);2019;;€758,8M;€13,2B;;€13248,7B;758,8;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2020;557,9; (adjusted for inflation, 2023 dollars);2020;;€557,9M;€14,3B;;€14326,3B;557,9;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2021;658,7; (adjusted for inflation, 2023 dollars);2021;;€658,7M;€16,9B;;€16893,6B;658,7;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2022;502,4; (adjusted for inflation, 2023 dollars);2022;;€502,4M;€16,5B;;€16547,4B;502,4;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD;Value (Adjusted);2023;537,1; (adjusted for inflation, 2023 dollars);2023;;€537,1M;€17,1B;;€17115,2B;537,1;2023
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1988;25,2; (adjusted for inflation, 2023 dollars);1988;;€25,2M;€16,1B;;€16110,1B;25,2;1988
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1990;14; (adjusted for inflation, 2023 dollars);1990;;€14,0M;€17,6B;;€17580,6B;14;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1991;78,5; (adjusted for inflation, 2023 dollars);1991;;€78,5M;€17,5B;;€17526,4B;78,5;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1992;97,9; (adjusted for inflation, 2023 dollars);1992;;€97,9M;€19,6B;;€19598,0B;97,9;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1993;96,6; (adjusted for inflation, 2023 dollars);1993;;€96,6M;€21,2B;;€21185,0B;96,6;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1994;115,3; (adjusted for inflation, 2023 dollars);1994;;€115,3M;€24,8B;;€24811,9B;115,3;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1995;221,7; (adjusted for inflation, 2023 dollars);1995;;€221,7M;€24,6B;;€24632,7B;221,7;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1996;357,5; (adjusted for inflation, 2023 dollars);1996;;€357,5M;€24,3B;;€24340,7B;357,5;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1997;517,7; (adjusted for inflation, 2023 dollars);1997;;€517,7M;€23,2B;;€23231,0B;517,7;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1998;398,5; (adjusted for inflation, 2023 dollars);1998;;€398,5M;€25,6B;;€25630,9B;398,5;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);1999;406,8; (adjusted for inflation, 2023 dollars);1999;;€406,8M;€26,7B;;€26674,7B;406,8;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2000;252,5; (adjusted for inflation, 2023 dollars);2000;;€252,5M;€25,3B;;€25345,2B;252,5;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2001;136,6; (adjusted for inflation, 2023 dollars);2001;;€136,6M;€23,7B;;€23650,3B;136,6;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2002;33,2; (adjusted for inflation, 2023 dollars);2002;;€33,2M;€21,4B;;€21367,8B;33,2;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2003;59,6; (adjusted for inflation, 2023 dollars);2003;;€59,6M;€19,6B;;€19630,7B;59,6;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2004;24,2; (adjusted for inflation, 2023 dollars);2004;;€24,2M;€19,9B;;€19913,0B;24,2;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2005;17; (adjusted for inflation, 2023 dollars);2005;;€17,0M;€19,2B;;€19174,4B;17;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2006;11,6; (adjusted for inflation, 2023 dollars);2006;;€11,6M;€17,8B;;€17773,5B;11,6;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2007;17,9; (adjusted for inflation, 2023 dollars);2007;;€17,9M;€15,7B;;€15652,2B;17,9;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2008;5; (adjusted for inflation, 2023 dollars);2008;;€5,0M;€12,4B;;€12421,1B;5;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2009;4,4; (adjusted for inflation, 2023 dollars);2009;;€4,4M;€11,1B;;€11122,4B;4,4;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2010;4,1; (adjusted for inflation, 2023 dollars);2010;;€4,1M;€9,8B;;€9800,8B;4,1;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2011;4,7; (adjusted for inflation, 2023 dollars);2011;;€4,7M;€9,7B;;€9665,7B;4,7;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2012;4,3; (adjusted for inflation, 2023 dollars);2012;;€4,3M;€9,3B;;€9310,9B;4,3;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2013;3,2; (adjusted for inflation, 2023 dollars);2013;;€3,2M;€9,2B;;€9201,8B;3,2;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2014;4,7; (adjusted for inflation, 2023 dollars);2014;;€4,7M;€8,6B;;€8616,8B;4,7;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2015;1,5; (adjusted for inflation, 2023 dollars);2015;;€1,5M;€8,6B;;€8627,1B;1,5;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2016;0,3; (adjusted for inflation, 2023 dollars);2016;;€0,3M;€9,5B;;€9510,9B;0,3;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2017;0,2; (adjusted for inflation, 2023 dollars);2017;;€0,2M;€10,6B;;€10570,2B;0,2;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2018;0; (adjusted for inflation, 2023 dollars);2018;;€0,0;€11,8B;;€11816,7B;0;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2019;0,1; (adjusted for inflation, 2023 dollars);2019;;€0,1M;€13,2B;;€13248,7B;0,1;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2020;0,4; (adjusted for inflation, 2023 dollars);2020;;€0,4M;€14,3B;;€14326,3B;0,4;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2021;0,1; (adjusted for inflation, 2023 dollars);2021;;€0,1M;€16,9B;;€16893,6B;0,1;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;CD Single;Value (Adjusted);2022;7,1; (adjusted for inflation, 2023 dollars);2022;;€7,1M;€16,5B;;€16547,4B;7,1;2022
1973;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1973;521,6; (adjusted for inflation, 2023 dollars);1973;;€521,6M;€13,8B;;€13839,3B;521,6;1973
1974;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1974;538,9; (adjusted for inflation, 2023 dollars);1974;;€538,9M;€13,6B;;€13595,4B;538,9;1974
1975;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1975;559,6; (adjusted for inflation, 2023 dollars);1975;;€559,6M;€13,5B;;€13527,7B;559,6;1975
1976;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1976;780,2; (adjusted for inflation, 2023 dollars);1976;;€780,2M;€14,7B;;€14657,2B;780,2;1976
1977;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1977;1255; (adjusted for inflation, 2023 dollars);1977;€1,3B;;€17,6B;;€17602,4B;1255;1977
1978;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1978;2102,1; (adjusted for inflation, 2023 dollars);1978;€2,1B;;€19,3B;;€19307,5B;2102,1;1978
1979;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1979;2436,8; (adjusted for inflation, 2023 dollars);1979;€2,4B;;€15,4B;;€15426,1B;2436,8;1979
1980;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1980;2607; (adjusted for inflation, 2023 dollars);1980;€2,6B;;€13,6B;;€13615,5B;2607;1980
1981;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1981;3562,6; (adjusted for inflation, 2023 dollars);1981;€3,6B;;€13,3B;;€13320,8B;3562,6;1981
1982;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1982;4371,6; (adjusted for inflation, 2023 dollars);1982;€4,4B;;€11,5B;;€11457,5B;4371,6;1982
1983;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1983;5540; (adjusted for inflation, 2023 dollars);1983;€5,5B;;€11,6B;;€11583,6B;5540;1983
1984;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1984;6991,1; (adjusted for inflation, 2023 dollars);1984;€7,0B;;€12,7B;;€12712,1B;6991,1;1984
1985;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1985;6828,9; (adjusted for inflation, 2023 dollars);1985;€6,8B;;€12,4B;;€12353,7B;6828,9;1985
1986;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1986;6948,9; (adjusted for inflation, 2023 dollars);1986;€6,9B;;€12,9B;;€12901,7B;6948,9;1986
1987;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1987;7938,6; (adjusted for inflation, 2023 dollars);1987;€7,9B;;€14,9B;;€14924,0B;7938,6;1987
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1988;8718,9; (adjusted for inflation, 2023 dollars);1988;€8,7B;;€16,1B;;€16110,1B;8718,9;1988
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1989;8221,5; (adjusted for inflation, 2023 dollars);1989;€8,2B;;€16,2B;;€16169,3B;8221,5;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1990;8095,2; (adjusted for inflation, 2023 dollars);1990;€8,1B;;€17,6B;;€17580,6B;8095,2;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1991;6755,3; (adjusted for inflation, 2023 dollars);1991;€6,8B;;€17,5B;;€17526,4B;6755,3;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1992;6767,9; (adjusted for inflation, 2023 dollars);1992;€6,8B;;€19,6B;;€19598,0B;6767,9;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1993;6148,4; (adjusted for inflation, 2023 dollars);1993;€6,1B;;€21,2B;;€21185,0B;6148,4;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1994;6119,5; (adjusted for inflation, 2023 dollars);1994;€6,1B;;€24,8B;;€24811,9B;6119,5;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1995;4605,7; (adjusted for inflation, 2023 dollars);1995;€4,6B;;€24,6B;;€24632,7B;4605,7;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1996;3700,1; (adjusted for inflation, 2023 dollars);1996;€3,7B;;€24,3B;;€24340,7B;3700,1;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1997;2890,8; (adjusted for inflation, 2023 dollars);1997;€2,9B;;€23,2B;;€23231,0B;2890,8;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Cassette;Value (Adjusted);1998;2654,3; (adjusted for inflation, 2023 dollars);1998;€2,7B;;€25,6B;;€25630,9B;2654,3;1998
